"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
105,"REIT - Industrial",-2.53%,-0.51%,-0.34%,4.71%,19.26%,12.59%,23098.19,0.87,-1.12%,20037734.00
106,"REIT - Mortgage",0.76%,-1.75%,-4.38%,-7.29%,-3.81%,-5.43%,80788.52,1.05,-0.73%,85160685.00
107,"REIT - Office",-4.56%,0.40%,11.58%,7.86%,-4.96%,9.24%,19814.08,0.84,-2.18%,16554959.00
108,"REIT - Residential",-1.72%,-1.77%,2.04%,3.67%,-0.09%,2.48%,31931.51,0.66,-1.73%,20940412.00
109,"REIT - Retail",-3.93%,-2.04%,2.99%,5.38%,17.30%,14.25%,40141.40,0.93,-1.24%,37493338.00
110,"REIT - Specialty",-0.94%,-0.03%,-5.11%,7.91%,-2.12%,12.67%,51463.57,0.91,-1.27%,46803138.00
111,"Rental & Leasing Services",1.14%,2.75%,10.80%,12.67%,23.08%,21.85%,41511.28,2.23,-1.93%,92611097.00
112,"Residential Construction",1.07%,0.06%,5.67%,-9.93%,-4.28%,0.20%,15504.53,0.81,-2.68%,12589684.00
113,"Resorts & Casinos",-1.79%,-2.68%,-1.64%,-4.37%,-1.17%,-9.90%,27603.37,0.72,-1.86%,19989460.00
114,"Restaurants",-0.47%,-1.22%,0.81%,-8.70%,-5.27%,0.26%,96894.56,1.06,-0.76%,102439771.00
115,"Scientific & Technical Instruments",3.64%,4.74%,3.95%,27.75%,57.14%,44.43%,37610.11,0.75,-4.07%,28265162.00
116,"Security & Protection Services",0.45%,11.07%,17.55%,1.94%,9.72%,11.86%,21746.48,0.92,-1.19%,20110240.00
117,"Semiconductor Equipment & Materials",3.84%,-9.79%,6.80%,33.16%,157.27%,73.49%,83590.92,0.81,-1.97%,68121692.00
118,"Semiconductors",4.07%,-4.26%,-1.11%,31.06%,54.11%,37.02%,748375.76,0.67,-2.22%,503891909.00
119,"Shell Companies",-0.21%,-2.09%,5.43%,21.67%,51.32%,21.53%,10504.47,1.67,-0.29%,17549173.00
120,"Silver",26.45%,21.69%,-2.28%,3.23%,133.33%,30.19%,24275.85,1.12,3.51%,27227005.00
121,"Software - Application",8.44%,16.34%,16.20%,14.54%,-20.11%,-10.41%,556237.44,1.13,1.98%,626306884.00
122,"Software - Infrastructure",6.51%,23.62%,19.65%,31.50%,0.07%,8.98%,625049.02,0.87,1.77%,542639724.00
123,"Solar",3.12%,-4.92%,-7.42%,-11.99%,32.90%,-5.77%,58194.47,0.62,-2.63%,36269122.00
124,"Specialty Business Services",-1.14%,7.01%,5.66%,2.89%,-19.73%,-7.88%,48333.57,1.11,0.15%,53741443.00
125,"Specialty Chemicals",3.24%,1.15%,1.41%,5.03%,12.65%,17.03%,68623.66,1.10,0.06%,75542920.00
126,"Specialty Industrial Machinery",0.57%,1.04%,2.86%,5.56%,24.91%,21.85%,135650.96,0.72,-0.80%,97670274.00
127,"Specialty Retail",2.06%,6.75%,8.21%,-2.87%,7.12%,9.68%,58978.55,1.25,0.15%,73900391.00
128,"Staffing & Employment Services",1.31%,20.38%,47.08%,30.08%,17.27%,39.24%,9994.41,0.51,-0.75%,5092043.00
129,"Steel",4.85%,16.18%,9.68%,22.66%,83.22%,49.68%,48384.94,0.66,1.10%,31715337.00
130,"Telecom Services",0.40%,3.24%,-6.03%,-7.41%,-6.34%,-0.82%,218724.19,0.73,0.02%,158913917.00
131,"Textile Manufacturing",-14.92%,-11.53%,3.53%,8.57%,3.31%,24.83%,1120.54,0.54,-2.37%,602900.00
132,"Thermal Coal",8.16%,7.44%,3.67%,-11.48%,16.34%,-1.33%,4136.78,0.93,2.63%,3842723.00
133,"Tobacco",-2.23%,-1.83%,3.18%,-1.59%,6.37%,11.23%,21297.08,1.02,-2.78%,21645623.00
134,"Tools & Accessories",0.03%,3.05%,5.45%,4.48%,34.00%,25.00%,7488.66,0.98,-1.66%,7339677.00
135,"Travel Services",5.04%,13.36%,19.58%,9.62%,8.32%,3.95%,76824.77,0.88,-0.68%,67718193.00
136,"Trucking",0.73%,-7.73%,1.30%,4.65%,50.70%,35.80%,15104.98,0.63,-1.62%,9501467.00
137,"Uranium",9.41%,3.47%,-17.63%,-17.11%,25.08%,3.80%,71505.88,0.81,0.02%,57818863.00
138,"Utilities - Diversified",-3.67%,-6.90%,-5.19%,-3.13%,9.17%,0.05%,19127.90,1.32,-0.63%,25272589.00
139,"Utilities - Independent Power Producers",-4.37%,-3.25%,-11.62%,-5.68%,-22.50%,-20.12%,34902.86,0.83,0.03%,28984760.00
140,"Utilities - Regulated Electric",-2.29%,-5.08%,-3.17%,-1.47%,4.52%,4.61%,138635.12,0.96,-1.49%,133535355.00
141,"Utilities - Regulated Gas",-3.32%,-5.01%,-6.27%,-3.89%,5.19%,0.58%,16519.52,1.23,-1.51%,20267948.00
142,"Utilities - Regulated Water",-1.79%,-8.71%,-10.35%,-0.81%,17.59%,8.04%,13432.66,0.98,-1.37%,13140239.00
143,"Utilities - Renewable",0.79%,-3.53%,-16.45%,-3.94%,36.70%,8.43%,30613.00,0.81,-2.26%,24697098.00
144,"Waste Management",0.23%,-2.13%,6.84%,-2.05%,-7.08%,0.43%,24679.82,0.61,-0.23%,15162077.00
