anl_datum,group,name,perf_week,perf_month,perf_quart,perf_half,perf_year,perf_ytd,recom,avg_volume,rel_volume,change,volume
"2026-08-07 22:15:01.000",industry,"Capital Markets",2.00,-2.04,8.08,14.51,20.04,10.38,0,435050.24,0.78,0.86,337929474.00
"2026-08-07 22:15:01.000",industry,"Chemicals",-2.35,0.17,-21.21,-5.21,24.95,18.86,0,37128.46,0.77,-2.35,28422946.00
"2026-08-07 22:15:01.000",industry,"Coking Coal",13.79,9.43,-4.36,-6.87,32.08,-7.17,0,4509.75,1.08,1.73,4888338.00
"2026-08-07 22:15:01.000",industry,"Communication Equipment",7.64,1.06,11.11,42.22,85.10,54.52,0,343149.09,0.73,1.02,251532522.00
"2026-08-07 22:15:01.000",industry,"Computer Hardware",-0.62,-12.31,13.71,81.13,155.03,113.84,0,293733.49,0.73,-1.30,215091153.00
"2026-08-07 22:15:01.000",industry,"Confectioners",1.38,7.03,0.81,-2.88,-0.31,11.75,0,11444.10,0.56,-0.27,6456865.00
"2026-08-07 22:15:01.000",industry,"Conglomerates",2.11,10.09,12.82,3.60,17.07,13.61,0,19198.31,0.98,1.28,18859009.00
"2026-08-07 22:15:01.000",industry,"Consulting Services",2.24,8.57,6.03,-2.89,-24.75,-13.80,0,13221.85,0.57,2.26,7583524.00
"2026-08-07 22:15:01.000",industry,"Consumer Electronics",1.42,-0.58,9.21,13.43,44.62,14.33,0,73920.49,0.63,0.33,46253697.00
"2026-08-07 22:15:01.000",industry,"Copper",10.57,15.01,12.68,11.86,101.99,38.76,0,33397.28,0.91,2.66,30424293.00
"2026-08-07 22:15:01.000",industry,"Credit Services",0.03,4.70,11.92,5.48,3.22,-1.73,0,165958.67,0.71,-1.79,117070375.00
"2026-08-07 22:15:01.000",industry,"Department Stores",2.89,16.16,21.64,5.99,63.67,5.26,0,11262.95,0.66,0.68,7459825.00
"2026-08-07 22:15:01.000",industry,"Diagnostics & Research",4.41,8.57,24.73,11.61,31.19,5.84,0,76463.56,0.66,2.92,50548162.00
"2026-08-07 22:15:01.000",industry,"Discount Stores",0.42,1.87,-9.53,-7.80,6.04,4.80,0,42731.25,0.69,-0.07,29356445.00
"2026-08-07 22:15:01.000",industry,"Drug Manufacturers - General",1.18,-0.07,12.79,6.52,37.97,11.13,0,122547.10,0.89,0.65,108753666.00
"2026-08-07 22:15:01.000",industry,"Drug Manufacturers - Specialty & Generic",0.02,0.12,-1.84,-5.16,14.84,-0.12,0,140358.25,1.11,0.22,155860987.00
"2026-08-07 22:15:01.000",industry,"Education & Training Services",0.90,0.11,-0.85,2.86,-15.13,3.74,0,24423.81,1.35,2.71,32943835.00
"2026-08-07 22:15:01.000",industry,"Electrical Equipment & Parts",9.93,-9.28,-12.43,36.47,98.79,58.30,0,229161.00,0.85,-0.64,194487091.00
"2026-08-07 22:15:01.000",industry,"Electronic Components",9.18,-2.89,1.97,34.39,72.64,39.13,0,74643.40,0.65,1.06,48792469.00
"2026-08-07 22:15:01.000",industry,"Electronic Gaming & Multimedia",0.73,-7.95,6.09,1.39,-27.89,-17.84,0,19387.85,1.36,3.17,26359242.00
"2026-08-07 22:15:01.000",industry,"Electronics & Computer Distribution",1.75,5.72,18.13,51.95,70.05,76.18,0,3943.39,1.29,-3.10,5089307.00
"2026-08-07 22:15:01.000",industry,"Engineering & Construction",2.08,-1.42,-10.29,17.72,44.31,32.39,0,39431.07,1.11,1.50,43793444.00
"2026-08-07 22:15:01.000",industry,"Entertainment",4.84,2.61,-5.94,1.49,-14.20,-9.11,0,192365.66,0.61,0.47,117860018.00
"2026-08-07 22:15:01.000",industry,"Farm & Heavy Construction Machinery",3.49,-4.15,-0.46,15.45,54.74,37.56,0,34186.00,0.75,-0.55,25561775.00
"2026-08-07 22:15:01.000",industry,"Farm Products",-1.20,-2.40,-7.37,1.25,18.33,16.39,0,19502.74,1.45,-0.73,28230717.00
"2026-08-07 22:15:01.000",industry,"Financial Conglomerates",-0.14,-0.53,17.46,26.94,37.67,31.96,0,3314.66,1.06,-1.87,3503990.00
"2026-08-07 22:15:01.000",industry,"Financial Data & Stock Exchanges",-0.65,2.45,-2.66,-1.50,-15.70,-8.84,0,29990.34,0.73,0.64,21909354.00
"2026-08-07 22:15:01.000",industry,"Food Distribution",0.93,4.23,18.39,12.63,16.01,26.51,0,11106.34,0.86,0.44,9511538.00
"2026-08-07 22:15:01.000",industry,"Footwear & Accessories",1.16,-1.84,-0.98,-20.48,-31.56,-22.20,0,39755.36,0.86,0.01,34125879.00
"2026-08-07 22:15:01.000",industry,"Furnishings, Fixtures & Appliances",9.13,10.80,25.38,3.65,14.25,13.49,0,20304.69,0.81,2.36,16348078.00
"2026-08-07 22:15:01.000",industry,"Gambling",-3.34,-10.49,-4.91,-14.32,-49.90,-36.31,0,27100.36,1.97,2.78,53379757.00
"2026-08-07 22:15:01.000",industry,"Gold",21.03,18.05,-3.01,-2.82,54.25,5.35,0,185656.37,1.75,7.31,324763391.00
"2026-08-07 22:15:01.000",industry,"Grocery Stores",-1.11,-4.72,-11.82,-11.08,-27.34,-8.07,0,26684.82,0.86,-1.03,23027730.00
"2026-08-07 22:15:01.000",industry,"Health Information Services",11.45,5.11,25.98,29.96,0.07,9.56,0,56429.01,2.36,6.67,133107273.00
"2026-08-07 22:15:01.000",industry,"Healthcare Plans",-1.24,-5.77,10.80,37.18,52.32,21.74,0,48177.47,1.08,1.11,52172166.00
"2026-08-07 22:15:01.000",industry,"Home Improvement Retail",7.25,5.06,6.55,-10.31,-7.80,0.36,0,10711.70,0.80,1.91,8517684.00
"2026-08-07 22:15:01.000",industry,"Household & Personal Products",1.23,1.63,4.31,-6.13,-4.42,3.39,0,90159.41,1.05,-0.31,94887743.00
"2026-08-07 22:15:01.000",industry,"Industrial Distribution",5.02,5.32,4.15,2.65,12.67,18.37,0,46215.72,0.93,1.33,42959872.00
"2026-08-07 22:15:01.000",industry,"Information Technology Services",4.42,-0.78,0.67,-17.35,-23.09,-23.73,0,302640.85,0.82,1.04,247926937.00
"2026-08-07 22:15:01.000",industry,"Insurance - Diversified",1.59,4.71,9.42,4.02,11.54,4.15,0,19215.42,0.91,-0.64,17476826.00
"2026-08-07 22:15:01.000",industry,"Insurance - Life",-0.64,4.94,12.42,13.85,25.18,13.65,0,22099.49,1.06,-0.97,23446697.00
"2026-08-07 22:15:01.000",industry,"Insurance - Property & Casualty",1.18,1.47,14.20,9.16,13.47,8.96,0,28451.97,0.79,-0.87,22360810.00
"2026-08-07 22:15:01.000",industry,"Insurance - Reinsurance",1.26,3.20,9.16,13.99,27.57,15.54,0,2749.50,0.75,1.46,2067708.00
"2026-08-07 22:15:01.000",industry,"Insurance - Specialty",-1.14,2.08,7.15,-0.59,3.21,0.25,0,12775.63,1.06,-1.29,13551624.00
"2026-08-07 22:15:01.000",industry,"Insurance Brokers",0.90,4.28,18.88,3.19,-8.59,-0.37,0,19157.56,2.12,-0.53,40687380.00
"2026-08-07 22:15:01.000",industry,"Integrated Freight & Logistics",1.77,-3.79,3.65,-1.61,40.13,16.46,0,29944.90,1.03,0.73,30919061.00
"2026-08-07 22:15:01.000",industry,"Internet Content & Information",0.92,-2.35,-8.80,1.57,30.88,4.69,0,224880.65,1.02,-0.49,228636049.00
"2026-08-07 22:15:01.000",industry,"Internet Retail",1.68,10.51,0.98,15.10,14.32,10.92,0,155064.88,1.20,0.90,185690699.00
"2026-08-07 22:15:01.000",industry,"Leisure",-1.01,4.53,5.06,1.18,0.15,3.30,0,43960.07,1.21,1.26,53165681.00
"2026-08-07 22:15:01.000",industry,"Lodging",-2.81,-4.56,-0.44,4.39,26.27,9.87,0,9997.10,0.80,-1.42,8008829.00
"2026-08-07 22:15:01.000",industry,"Lumber & Wood Production",8.70,9.73,10.04,-4.06,2.46,15.76,0,1486.60,0.96,2.71,1419909.00
"2026-08-07 22:15:01.000",industry,"Luxury Goods",5.05,13.05,17.35,10.27,38.08,17.54,0,11191.92,2.02,0.39,22639167.00
"2026-08-07 22:15:01.000",industry,"Marine Shipping",-0.13,4.64,0.88,24.51,41.55,37.56,0,14606.98,0.86,-0.46,12532007.00
"2026-08-07 22:15:01.000",industry,"Medical Care Facilities",1.22,2.87,8.33,-0.18,27.66,6.40,0,47551.10,0.99,1.77,46986871.00
"2026-08-07 22:15:01.000",industry,"Medical Devices",2.66,7.05,12.12,-7.41,-11.68,-12.45,0,171860.63,0.86,0.85,147661695.00
"2026-08-07 22:15:01.000",industry,"Medical Distribution",2.16,6.23,21.01,-5.35,26.10,5.12,0,8058.02,0.84,-0.59,6739325.00
"2026-08-07 22:15:01.000",industry,"Medical Instruments & Supplies",3.55,1.36,1.61,-6.13,-2.75,-11.21,0,81290.72,1.01,1.16,82413914.00
"2026-08-07 22:15:01.000",industry,"Metal Fabrication",11.77,10.23,19.12,28.94,80.25,43.11,0,12436.73,0.67,1.27,8377357.00
"2026-08-07 22:15:01.000",industry,"Mortgage Finance",4.46,-6.49,-6.38,-28.97,-25.34,-31.10,0,55501.81,1.51,3.28,83610892.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas Drilling",-2.05,4.37,-16.81,9.96,33.69,31.07,0,66238.00,0.72,0.42,47554033.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas E&P",-4.77,5.09,-1.13,11.87,24.59,23.20,0,190983.38,0.81,-0.12,154045746.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas Equipment & Services",0.26,1.94,-6.26,8.47,54.06,33.78,0,88996.91,0.76,-1.34,67497175.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas Integrated",-4.18,8.66,2.35,13.76,37.45,30.58,0,101564.49,0.92,-1.27,93370363.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas Midstream",-3.15,-2.35,-0.22,9.65,20.16,19.93,0,96177.87,0.89,-1.72,85353326.00
"2026-08-07 22:15:01.000",industry,"Oil & Gas Refining & Marketing",-5.92,5.74,20.20,41.27,80.16,67.62,0,26693.74,1.21,-1.18,32419411.00
"2026-08-07 22:15:01.000",industry,"Other Industrial Metals & Mining",6.51,10.30,-0.64,14.10,63.64,31.22,0,129408.95,1.22,2.49,158189486.00
"2026-08-07 22:15:01.000",industry,"Other Precious Metals & Mining",18.07,13.42,-7.30,-14.21,65.82,-5.41,0,52204.32,1.27,5.17,66079809.00
"2026-08-07 22:15:01.000",industry,"Packaged Foods",1.03,4.90,5.66,-8.85,-12.50,-3.21,0,124939.61,0.66,0.83,82851436.00
"2026-08-07 22:15:01.000",industry,"Packaging & Containers",3.68,9.85,15.74,2.03,8.44,14.10,0,37401.41,0.66,1.53,24783945.00
"2026-08-07 22:15:01.000",industry,"Paper & Paper Products",-1.53,4.49,-4.91,-13.68,-11.97,-11.43,0,3542.84,0.69,0.84,2442364.00
"2026-08-07 22:15:01.000",industry,"Personal Services",2.63,-0.50,-7.70,-16.76,-17.70,-15.07,0,13488.09,1.03,1.07,13871389.00
"2026-08-07 22:15:01.000",industry,"Pharmaceutical Retailers",7.22,3.53,-8.78,-7.13,-6.14,-18.87,0,1223.95,0.33,0.45,408608.00
"2026-08-07 22:15:01.000",industry,"Pollution & Treatment Controls",4.55,3.71,3.89,3.66,-2.81,1.60,0,14574.05,0.87,0.59,12638800.00
"2026-08-07 22:15:01.000",industry,"Publishing",-8.60,-8.09,-5.19,14.71,13.56,9.09,0,5484.20,1.63,-1.58,8932234.00
"2026-08-07 22:15:01.000",industry,"Railroads",0.39,3.06,10.20,18.35,30.39,27.43,0,24233.65,0.79,-0.59,19074127.00
"2026-08-07 22:15:01.000",industry,"Real Estate - Development",2.57,2.52,5.65,1.84,10.59,10.08,0,2042.60,0.48,1.87,977391.00
"2026-08-07 22:15:01.000",industry,"Real Estate - Diversified",6.67,0.68,4.28,-9.23,13.06,-3.38,0,761.91,1.53,-0.49,1163793.00
"2026-08-07 22:15:01.000",industry,"Real Estate Services",2.03,3.92,-0.35,-12.15,-17.06,-14.15,0,99116.74,0.65,0.72,64268638.00
"2026-08-07 22:15:01.000",industry,"Recreational Vehicles",5.54,7.07,2.74,-16.52,9.54,-3.93,0,9960.27,0.46,1.76,4578222.00
"2026-08-07 22:15:01.000",industry,"REIT - Diversified",-0.25,1.01,-4.10,-3.03,-6.54,2.32,0,21277.06,1.07,0.42,22853052.00
"2026-08-07 22:15:01.000",industry,"REIT - Healthcare Facilities",0.14,1.68,9.18,19.59,35.44,23.58,0,40381.95,0.76,0.65,30611350.00
"2026-08-07 22:15:01.000",industry,"REIT - Hotel & Motel",-6.37,-0.57,13.85,27.67,42.97,33.93,0,33631.39,1.08,-1.06,36159572.00
"2026-08-07 22:15:01.000",industry,"REIT - Industrial",-1.36,0.62,1.55,6.89,20.71,13.87,0,23115.50,0.86,0.73,19781285.00
"2026-08-07 22:15:01.000",industry,"REIT - Mortgage",1.97,-0.48,-3.46,-6.52,-2.55,-4.73,0,80581.03,1.08,2.17,87066570.00
"2026-08-07 22:15:01.000",industry,"REIT - Office",-1.32,2.53,14.70,12.01,-3.08,11.66,0,19897.99,0.86,1.37,17026870.00
"2026-08-07 22:15:01.000",industry,"REIT - Residential",1.17,0.41,3.29,6.89,2.18,4.28,0,32066.79,0.71,0.69,22633055.00
"2026-08-07 22:15:01.000",industry,"REIT - Retail",-3.07,-0.83,4.40,7.01,18.37,15.69,0,40062.01,1.19,0.36,47583986.00
"2026-08-07 22:15:01.000",industry,"REIT - Specialty",0.96,2.75,-3.79,12.37,0.13,14.12,0,51268.23,0.78,0.17,39931810.00
"2026-08-07 22:15:01.000",industry,"Rental & Leasing Services",6.54,5.99,13.51,18.51,25.19,24.34,0,40555.98,5.95,-0.26,241472878.00
"2026-08-07 22:15:01.000",industry,"Residential Construction",6.28,3.53,9.36,-7.46,-1.02,2.97,0,15455.35,1.17,2.81,18154807.00
"2026-08-07 22:15:01.000",industry,"Resorts & Casinos",-1.33,-0.34,-0.52,-0.27,0.41,-8.19,0,27697.28,0.81,-0.26,22298040.00
"2026-08-07 22:15:01.000",industry,"Restaurants",-0.61,-0.22,0.18,-6.08,-3.84,1.03,0,96306.05,1.45,-0.40,139606043.00
"2026-08-07 22:15:01.000",industry,"Scientific & Technical Instruments",11.91,9.22,9.46,39.03,64.93,50.52,0,37650.67,0.85,3.92,32006215.00
"2026-08-07 22:15:01.000",industry,"Security & Protection Services",3.32,13.66,17.59,5.73,10.98,13.41,0,21891.89,0.92,0.15,20080848.00
"2026-08-07 22:15:01.000",industry,"Semiconductor Equipment & Materials",7.05,-7.72,13.95,44.83,170.28,76.97,0,83781.66,0.78,2.27,65719398.00
"2026-08-07 22:15:01.000",industry,"Semiconductors",7.92,-1.01,4.87,42.71,59.78,40.14,0,755086.90,0.71,1.17,535358295.00
"2026-08-07 22:15:01.000",industry,"Shell Companies",-0.04,-1.82,5.07,22.21,50.47,20.76,0,10584.86,1.23,0.02,12978631.00
"2026-08-07 22:15:01.000",industry,"Silver",26.48,16.74,-4.31,8.27,133.06,25.78,0,24292.72,1.02,6.94,24704836.00
"2026-08-07 22:15:01.000",industry,"Software - Application",8.22,13.56,13.26,14.97,-22.50,-12.12,0,552560.71,1.09,3.12,601358192.00
"2026-08-07 22:15:01.000",industry,"Software - Infrastructure",9.64,20.29,16.97,32.91,-2.88,7.08,0,621995.82,0.95,1.40,592289183.00
"2026-08-07 22:15:01.000",industry,"Solar",12.92,-2.73,-1.21,-8.92,39.99,-3.22,0,58354.78,1.05,3.66,61321674.00
"2026-08-07 22:15:01.000",industry,"Specialty Business Services",0.15,6.97,4.68,3.23,-18.97,-5.76,0,48075.50,0.97,0.78,46394252.00
"2026-08-07 22:15:01.000",industry,"Specialty Chemicals",4.29,1.64,1.60,5.12,12.62,16.95,0,69558.75,0.92,0.51,63848934.00
"2026-08-07 22:15:01.000",industry,"Specialty Industrial Machinery",3.84,2.90,3.33,10.33,25.42,22.83,0,136006.40,0.98,0.19,132999563.00
"2026-08-07 22:15:01.000",industry,"Specialty Retail",2.98,7.78,8.26,-1.01,6.47,9.49,0,58707.85,0.96,2.08,56573765.00
"2026-08-07 22:15:01.000",industry,"Staffing & Employment Services",5.44,23.02,47.63,31.31,19.40,40.30,0,9992.50,1.10,2.49,10959633.00
"2026-08-07 22:15:01.000",industry,"Steel",5.52,18.53,10.01,26.74,82.23,48.27,0,48240.50,0.57,0.75,27559258.00
"2026-08-07 22:15:01.000",industry,"Telecom Services",1.51,4.51,-5.97,-7.48,-5.27,-0.84,0,218733.73,0.73,-0.34,159979147.00
"2026-08-07 22:15:01.000",industry,"Textile Manufacturing",-12.25,-9.36,7.76,14.40,5.90,27.86,0,1146.01,2.13,2.35,2439628.00
"2026-08-07 22:15:01.000",industry,"Thermal Coal",6.15,4.76,-1.94,-9.99,13.33,-3.85,0,4130.97,0.72,-0.41,2963323.00
"2026-08-07 22:15:01.000",industry,"Tobacco",-0.84,0.82,5.87,1.84,10.10,14.42,0,21238.56,0.92,0.88,19522407.00
"2026-08-07 22:15:01.000",industry,"Tools & Accessories",4.22,5.43,7.01,9.45,35.89,27.11,0,7495.83,1.01,1.00,7588475.00
"2026-08-07 22:15:01.000",industry,"Travel Services",6.88,14.96,17.57,14.16,7.01,4.67,0,77086.53,0.85,3.53,65367114.00
"2026-08-07 22:15:01.000",industry,"Trucking",1.96,-6.57,2.77,8.99,48.71,38.07,0,15148.89,0.73,2.25,11043251.00
"2026-08-07 22:15:01.000",industry,"Uranium",13.72,4.19,-19.41,-13.37,24.77,3.77,0,71588.27,0.88,4.31,62826304.00
"2026-08-07 22:15:01.000",industry,"Utilities - Diversified",-4.40,-6.06,-4.63,-1.33,10.80,0.68,0,19119.21,1.06,-0.32,20356324.00
"2026-08-07 22:15:01.000",industry,"Utilities - Independent Power Producers",-0.57,-3.13,-13.66,0.09,-22.16,-20.10,0,35125.29,1.18,2.14,41597187.00
"2026-08-07 22:15:01.000",industry,"Utilities - Regulated Electric",-1.21,-2.92,-2.14,-0.05,6.96,6.19,0,138487.76,0.98,0.46,136169594.00
"2026-08-07 22:15:01.000",industry,"Utilities - Regulated Gas",-1.79,-3.00,-5.11,-2.49,8.03,2.12,0,16436.75,1.14,-0.32,18675428.00
"2026-08-07 22:15:01.000",industry,"Utilities - Regulated Water",-1.31,-4.98,-9.45,0.50,21.93,9.55,0,13352.30,0.67,-0.47,8896057.00
"2026-08-07 22:15:01.000",industry,"Utilities - Renewable",2.60,-0.19,-12.15,-0.57,52.58,11.74,0,33482.43,1.12,2.52,37592137.00
"2026-08-07 22:15:01.000",industry,"Waste Management",0.52,-1.46,5.60,-1.44,-6.53,0.66,0,24786.89,0.96,0.34,23748328.00
