"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
89,"Other Precious Metals & Mining",18.07%,13.42%,-7.30%,-14.21%,65.82%,-5.41%,52204.32,1.27,5.17%,66079809.00
90,"Packaged Foods",1.03%,4.90%,5.66%,-8.85%,-12.50%,-3.21%,124939.61,0.66,0.83%,82851436.00
91,"Packaging & Containers",3.68%,9.85%,15.74%,2.03%,8.44%,14.10%,37401.41,0.66,1.53%,24783945.00
92,"Paper & Paper Products",-1.53%,4.49%,-4.91%,-13.68%,-11.97%,-11.43%,3542.84,0.69,0.84%,2442364.00
93,"Personal Services",2.63%,-0.50%,-7.70%,-16.76%,-17.70%,-15.07%,13488.09,1.03,1.07%,13871389.00
94,"Pharmaceutical Retailers",7.22%,3.53%,-8.78%,-7.13%,-6.14%,-18.87%,1223.95,0.33,0.45%,408608.00
95,"Pollution & Treatment Controls",4.55%,3.71%,3.89%,3.66%,-2.81%,1.60%,14574.05,0.87,0.59%,12638800.00
96,"Publishing",-8.60%,-8.09%,-5.19%,14.71%,13.56%,9.09%,5484.20,1.63,-1.58%,8932234.00
97,"Railroads",0.39%,3.06%,10.20%,18.35%,30.39%,27.43%,24233.65,0.79,-0.59%,19074127.00
98,"Real Estate - Development",2.57%,2.52%,5.65%,1.84%,10.59%,10.08%,2042.60,0.48,1.87%,977391.00
99,"Real Estate - Diversified",6.67%,0.68%,4.28%,-9.23%,13.06%,-3.38%,761.91,1.53,-0.49%,1163793.00
100,"Real Estate Services",2.03%,3.92%,-0.35%,-12.15%,-17.06%,-14.15%,99116.74,0.65,0.72%,64268638.00
101,"Recreational Vehicles",5.54%,7.07%,2.74%,-16.52%,9.54%,-3.93%,9960.27,0.46,1.76%,4578222.00
102,"REIT - Diversified",-0.25%,1.01%,-4.10%,-3.03%,-6.54%,2.32%,21277.06,1.07,0.42%,22853052.00
103,"REIT - Healthcare Facilities",0.14%,1.68%,9.18%,19.59%,35.44%,23.58%,40381.95,0.76,0.65%,30611350.00
104,"REIT - Hotel & Motel",-6.37%,-0.57%,13.85%,27.67%,42.97%,33.93%,33631.39,1.08,-1.06%,36159572.00
105,"REIT - Industrial",-1.36%,0.62%,1.55%,6.89%,20.71%,13.87%,23115.50,0.86,0.73%,19781285.00
106,"REIT - Mortgage",1.97%,-0.48%,-3.46%,-6.52%,-2.55%,-4.73%,80581.03,1.08,2.17%,87066570.00
107,"REIT - Office",-1.32%,2.53%,14.70%,12.01%,-3.08%,11.66%,19897.99,0.86,1.37%,17026870.00
108,"REIT - Residential",1.17%,0.41%,3.29%,6.89%,2.18%,4.28%,32066.79,0.71,0.69%,22633055.00
109,"REIT - Retail",-3.07%,-0.83%,4.40%,7.01%,18.37%,15.69%,40062.01,1.19,0.36%,47583986.00
110,"REIT - Specialty",0.96%,2.75%,-3.79%,12.37%,0.13%,14.12%,51268.23,0.78,0.17%,39931810.00
111,"Rental & Leasing Services",6.54%,5.99%,13.51%,18.51%,25.19%,24.34%,40555.98,5.95,-0.26%,241472878.00
